TAHUN,KUMPULAN KOMODITI,KOMODITI,NEGERI,DAERAH,LUAS_BERTANAM_HA,LUAS_BERHASIL_HA,PENGELUARAN_MT
2016,BUAH-BUAHAN,TEMBIKAI SUSU,MELAKA,ALOR GAJAH,5.05,5.00,48.75
2016,BUAH-BUAHAN,TEMBIKAI SUSU,NEGERI SEMBILAN,KUALA PILAH,2.00,2.00,55.00
2016,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,KUALA NERUS,3.00,3.00,56.56
2016,BUAH-BUAHAN,TEMBIKAI WANGI,JOHOR,KOTA TINGGI,11.00,11.00,42.86
2016,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,MACHANG,3.20,3.20,60.00
2016,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KUALA LANGAT,4.40,4.40,62.21
2016,BUAH-BUAHAN,TEMBIKAI SUSU,PAHANG,BENTONG,3.00,3.00,75.00
2016,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,KOTA BHARU,4.00,4.00,73.50
2016,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,TANAH MERAH,3.83,3.22,81.44
2016,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,BATU PAHAT,2.69,2.58,83.90
2016,BUAH-BUAHAN,TEMBIKAI WANGI,TERENGGANU,MARANG,4.60,4.40,87.04
2016,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,HULU LANGAT,4.00,3.50,105.40
2016,BUAH-BUAHAN,TEMBIKAI WANGI,MELAKA,JASIN,8.82,6.82,100.31
2016,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,MACHANG,5.80,5.80,105.80
2016,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,PASIR PUTEH,9.08,8.48,119.31
2016,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,KOTA TINGGI,10.00,10.00,119.48
2016,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,KINTA,10.00,10.00,125.50
2016,BUAH-BUAHAN,TEMBIKAI WANGI,KEDAH,PENDANG,10.00,10.00,165.40
2016,BUAH-BUAHAN,TEMBIKAI SUSU,MELAKA,MELAKA TENGAH,17.28,17.13,223.52
2016,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KUALA SELANGOR,12.84,9.66,244.36
2016,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,PETALING,13.42,11.74,260.63
2016,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,PASIR MAS,11.29,11.27,285.53
2016,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,PASIR MAS,15.79,15.75,284.92
2016,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,DUNGUN,12.81,12.81,307.97
2016,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,BESUT,16.16,14.96,487.08
2016,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,MUAR,19.20,18.90,569.07
2016,BUAH-BUAHAN,TEMBIKAI SUSU,KEDAH,BANDAR BAHARU,40.00,36.00,545.40
2016,BUAH-BUAHAN,TEMBIKAI SUSU,MELAKA,JASIN,48.90,46.90,765.17
2016,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KLANG,38.90,38.90,908.18
2016,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,KOTA BHARU,45.00,45.00,916.29
2016,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,BACHOK,46.00,46.00,977.24
2016,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,BACHOK,103.88,103.88,2064.23
2016,BUAH-BUAHAN,TEMBIKAI SUSU,NEGERI SEMBILAN,PORT DICKSON,98.40,98.40,2080.14
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,TELANG USAN,0.20,0.20,2.00
2016,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,KLUANG,150.00,150.00,3750.00
2016,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,SETIU,258.24,258.24,4751.52
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,TANJUNG MANIS,2.50,1.50,5.20
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,JERANTUT,0.40,0.40,5.55
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,TENOM,0.40,0.40,7.00
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,TELUPID,0.80,0.80,7.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SEBAUH,1.00,0.60,9.60
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,TATAU,2.00,0.60,9.90
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BARAM,1.00,1.00,10.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,PAKAN,1.00,1.00,10.00
2016,BUAH-BUAHAN,TEMBIKAI,SELANGOR,KUALA SELANGOR,3.50,0.87,10.81
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,RAUB,1.40,1.40,13.50
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BINTULU,3.30,0.90,14.30
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,PUSA,3.00,1.00,14.60
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,KANOWIT,1.00,1.00,15.00
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,KUNAK,8.20,8.20,18.60
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,KOTA MARUDU,3.20,3.20,20.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BETONG,1.50,1.50,22.50
2016,BUAH-BUAHAN,TEMBIKAI,KEDAH,KUBANG PASU,16.00,16.00,32.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,LAWAS,3.40,2.70,33.80
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,DALAT,5.00,2.10,34.50
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,LUNDU,346.40,2.00,36.00
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,LIPIS,3.10,2.02,41.47
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,DARO,10.40,4.70,45.50
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,TAWAU,5.40,5.40,51.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,MIRI,21.50,9.00,54.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,MATU,15.80,12.50,58.90
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,KUDAT,7.00,7.00,59.30
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,LAHAD DATU,7.00,7.00,65.80
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,MUKAH,17.20,5.10,68.50
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BUKIT MABONG,8.90,5.90,70.80
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SONG,5.00,5.00,75.00
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,TUARAN,4.10,4.10,77.70
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,SOOK,4.00,4.00,80.00
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,BELURAN,5.00,5.00,80.00
2016,BUAH-BUAHAN,TEMBIKAI,KEDAH,LANGKAWI,11.63,10.33,81.30
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BELAGA,7.00,7.00,84.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,KAPIT,9.00,7.30,87.60
2016,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,HULU TERENGGANU,7.50,7.50,110.50
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,LUBOK ANTU,7.50,7.50,115.50
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,MARAN,8.00,8.00,121.12
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,SIPITANG,6.60,6.60,137.00
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,KOTA BELUD,28.00,13.00,141.80
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,SANDAKAN,13.00,13.00,156.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SUBIS,22.70,10.70,162.60
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SERIAN,11.50,10.30,173.40
2016,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,KUALA TERENGGANU,7.50,7.50,183.60
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SAMARAHAN,15.50,15.50,232.50
2016,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,DUNGUN,10.20,9.80,235.46
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,KUANTAN,41.20,28.00,277.72
2016,BUAH-BUAHAN,TEMBIKAI,JOHOR,MUAR,7.00,7.00,280.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SRI AMAN,34.40,21.90,301.90
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,TANAH MERAH,19.79,19.79,326.89
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,KUALA KRAI,22.93,18.00,336.45
2016,BUAH-BUAHAN,TEMBIKAI,NEGERI SEMBILAN,JELEBU,15.00,15.00,348.00
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,BEAUFORT,20.00,20.00,381.50
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,BENTONG,30.00,30.00,419.00
2016,BUAH-BUAHAN,TEMBIKAI,KEDAH,POKOK SENA,23.00,16.50,461.00
2016,BUAH-BUAHAN,TEMBIKAI,MELAKA,MELAKA TENGAH,38.80,34.40,512.57
2016,BUAH-BUAHAN,TEMBIKAI,PERAK,HILIR PERAK,70.00,70.00,573.28
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,TUMPAT,31.82,31.32,576.05
2016,BUAH-BUAHAN,TEMBIKAI,JOHOR,MERSING,25.00,18.00,584.50
2016,BUAH-BUAHAN,TEMBIKAI,KEDAH,KUALA MUDA,33.00,33.00,648.33
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SARIKEI,48.00,45.00,804.00
2016,BUAH-BUAHAN,TEMBIKAI,NEGERI SEMBILAN,REMBAU,45.00,45.00,877.50
2016,BUAH-BUAHAN,TEMBIKAI,PERAK,MANJUNG,38.30,38.30,910.00
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,PASIR MAS,66.84,59.04,982.65
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,KABONG,60.00,60.00,989.00
2016,BUAH-BUAHAN,TEMBIKAI,PERAK,PERAK TENGAH,48.00,41.20,1030.00
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SERIAN,100.00,57.10,1034.10
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,GUA MUSANG,44.30,41.85,1049.50
2016,BUAH-BUAHAN,TEMBIKAI,KEDAH,PENDANG,440.70,440.70,1134.29
2016,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,KUALA NERUS,67.04,67.04,1145.00
2016,BUAH-BUAHAN,TEMBIKAI,SELANGOR,GOMBAK,50.00,50.00,1214.12
2016,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,KEMAMAN,71.40,71.10,1233.45
2016,BUAH-BUAHAN,TEMBIKAI,KEDAH,BALING,71.20,71.20,1246.00
2016,BUAH-BUAHAN,TEMBIKAI,PERAK,KINTA,64.00,64.00,1315.00
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,KOTA BHARU,85.30,85.30,1478.00
2016,BUAH-BUAHAN,TEMBIKAI,MELAKA,ALOR GAJAH,105.10,105.10,1735.50
2016,BUAH-BUAHAN,TEMBIKAI,KEDAH,KULIM,142.00,130.00,2039.67
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,ASAJAYA,163.80,139.40,2041.00
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,MACHANG,94.70,94.50,2082.30
2016,BUAH-BUAHAN,TEMBIKAI,SARAWAK,KUCHING,124.80,123.60,2149.40
2016,BUAH-BUAHAN,TEMBIKAI,JOHOR,SEGAMAT,480.00,360.00,2159.59
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,PEKAN,128.00,128.00,2304.00
2016,BUAH-BUAHAN,TEMBIKAI,SABAH,PAPAR,244.00,244.00,2342.00
2016,BUAH-BUAHAN,TEMBIKAI,NEGERI SEMBILAN,PORT DICKSON,144.00,144.00,2694.00
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,JELI,221.85,221.60,4054.74
2016,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,BESUT,266.77,255.27,4121.66
2016,BUAH-BUAHAN,TEMBIKAI,MELAKA,JASIN,284.00,284.00,4243.63
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,ROMPIN,240.80,240.80,5191.86
2016,BUAH-BUAHAN,TEMBIKAI,KEDAH,BANDAR BAHARU,283.00,283.00,5194.58
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,PASIR PUTEH,247.07,243.68,6809.69
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,BERA,400.00,400.00,6869.60
2016,BUAH-BUAHAN,TEMBIKAI,PAHANG,TEMERLOH,376.00,361.00,7002.76
2016,BUAH-BUAHAN,TEMBIKAI,PERLIS,PERLIS,405.13,405.13,7033.00
2016,BUAH-BUAHAN,TEMBIKAI,JOHOR,KOTA TINGGI,554.00,545.00,7926.57
2016,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,MARANG,572.60,512.00,9161.95
2016,BUAH-BUAHAN,TEMBIKAI,JOHOR,KLUANG,805.00,805.00,15529.00
2016,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,SETIU,1037.18,1006.18,20945.63
2016,BUAH-BUAHAN,TEMBIKAI,KELANTAN,BACHOK,1189.66,1089.11,21671.65
2016,BUAH-BUAHAN,TEMBIKAI,NEGERI SEMBILAN,JEMPOL,1080.00,1080.00,21954.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BELURU,0.10,0.00,0.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,MERSING,0.20,0.00,0.00
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,BELURAN,1.00,0.00,0.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,PERAK TENGAH,0.60,0.60,0.60
2017,BUAH-BUAHAN,TEMBIKAI WANGI,PERAK,HULU PERAK,0.10,0.10,2.00
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,KENINGAU,2.40,0.00,0.00
2017,BUAH-BUAHAN,TEMBIKAI WANGI,SELANGOR,SABAK BERNAM,0.60,0.50,8.85
2017,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,DUNGUN,0.40,0.40,13.30
2017,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,SEPANG,0.90,0.90,14.31
2017,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,JOHOR BAHRU,3.90,2.60,10.50
2017,BUAH-BUAHAN,TEMBIKAI WANGI,TERENGGANU,BESUT,1.20,1.00,14.80
2017,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,KINTA,2.00,0.50,15.77
2017,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,KUALA KANGSAR,0.64,0.64,18.86
2017,BUAH-BUAHAN,TEMBIKAI WANGI,JOHOR,KOTA TINGGI,6.00,6.00,11.14
2017,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,GOMBAK,0.80,0.80,22.18
2017,BUAH-BUAHAN,TEMBIKAI SUSU,NEGERI SEMBILAN,JEMPOL,2.50,2.50,19.95
2017,BUAH-BUAHAN,TEMBIKAI WANGI,KEDAH,KUALA MUDA,2.00,2.00,26.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,NEGERI SEMBILAN,SEREMBAN,4.29,4.29,22.81
2017,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,TUMPAT,1.80,1.80,28.20
2017,BUAH-BUAHAN,TEMBIKAI WANGI,SELANGOR,SEPANG,1.00,1.00,30.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,SEGAMAT,40.00,0.00,0.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,HILIR PERAK,2.20,2.20,36.11
2017,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,KUALA NERUS,4.50,4.50,33.04
2017,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,KUALA TERENGGANU,5.60,4.00,32.80
2017,BUAH-BUAHAN,TEMBIKAI WANGI,SELANGOR,KUALA LANGAT,1.40,1.40,41.00
2017,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,MACHANG,2.00,2.00,40.00
2017,BUAH-BUAHAN,TEMBIKAI WANGI,TERENGGANU,KUALA NERUS,2.00,2.00,40.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KUALA LANGAT,3.80,3.80,37.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,KOTA BHARU,2.00,2.00,42.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,PERLIS,PERLIS,11.00,11.00,30.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,TANAH MERAH,1.94,1.84,49.25
2017,BUAH-BUAHAN,TEMBIKAI SUSU,NEGERI SEMBILAN,KUALA PILAH,2.80,2.80,60.20
2017,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,MACHANG,4.40,3.40,60.60
2017,BUAH-BUAHAN,TEMBIKAI SUSU,MELAKA,ALOR GAJAH,7.50,7.50,56.10
2017,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,BATU PAHAT,2.97,2.80,71.96
2017,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,MUAR,6.68,3.39,71.46
2017,BUAH-BUAHAN,TEMBIKAI SUSU,PAHANG,LIPIS,5.40,5.00,74.85
2017,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,HULU SELANGOR,4.51,4.51,84.79
2017,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,SETIU,5.90,5.90,87.35
2017,BUAH-BUAHAN,TEMBIKAI SUSU,TERENGGANU,BESUT,4.26,4.06,98.50
2017,BUAH-BUAHAN,TEMBIKAI SUSU,PERAK,MANJUNG,3.66,3.66,104.50
2017,BUAH-BUAHAN,TEMBIKAI,PAHANG,LIPIS,0.20,0.01,0.09
2017,BUAH-BUAHAN,TEMBIKAI SUSU,NEGERI SEMBILAN,REMBAU,12.74,12.70,116.44
2017,BUAH-BUAHAN,TEMBIKAI WANGI,MELAKA,JASIN,17.10,7.40,121.26
2017,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,PASIR MAS,6.17,6.14,139.98
2017,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,HULU LANGAT,5.00,5.00,150.90
2017,BUAH-BUAHAN,TEMBIKAI WANGI,TERENGGANU,MARANG,9.70,9.70,147.50
2017,BUAH-BUAHAN,TEMBIKAI SUSU,PAHANG,PEKAN,2.00,1.62,166.10
2017,BUAH-BUAHAN,TEMBIKAI WANGI,KEDAH,PENDANG,10.00,10.00,171.11
2017,BUAH-BUAHAN,TEMBIKAI SUSU,MELAKA,MELAKA TENGAH,16.26,15.72,205.93
2017,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,PETALING,9.26,9.19,231.84
2017,BUAH-BUAHAN,TEMBIKAI SUSU,KEDAH,PENDANG,12.00,12.00,231.14
2017,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KUALA SELANGOR,15.60,9.00,234.60
2017,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,PASIR MAS,18.72,18.14,255.44
2017,BUAH-BUAHAN,TEMBIKAI SUSU,KELANTAN,BACHOK,11.60,11.60,287.50
2017,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,PASIR PUTEH,13.09,13.09,292.96
2017,BUAH-BUAHAN,TEMBIKAI SUSU,SELANGOR,KLANG,22.20,22.20,511.84
2017,BUAH-BUAHAN,TEMBIKAI SUSU,NEGERI SEMBILAN,TAMPIN,28.80,28.80,513.00
2017,BUAH-BUAHAN,TEMBIKAI WANGI,JOHOR,MERSING,40.00,40.00,600.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,KEDAH,BANDAR BAHARU,40.00,40.00,606.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,MELAKA,JASIN,41.40,34.80,733.80
2017,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,KOTA BHARU,49.30,49.30,955.17
2017,BUAH-BUAHAN,TEMBIKAI SUSU,NEGERI SEMBILAN,PORT DICKSON,72.80,72.80,1625.50
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,TELANG USAN,0.20,0.20,2.00
2017,BUAH-BUAHAN,TEMBIKAI WANGI,KELANTAN,BACHOK,161.25,161.25,3229.60
2017,BUAH-BUAHAN,TEMBIKAI,PAHANG,RAUB,0.80,0.30,5.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,TANJUNG MANIS,2.50,1.50,5.20
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,KUALA PENYU,0.40,0.40,6.00
2017,BUAH-BUAHAN,TEMBIKAI SUSU,JOHOR,KLUANG,300.00,300.00,7400.00
2017,BUAH-BUAHAN,TEMBIKAI,PERAK,HULU PERAK,0.40,0.40,9.09
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,TENOM,0.80,0.50,9.20
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SEBAUH,1.00,0.60,9.60
2017,BUAH-BUAHAN,TEMBIKAI,SELANGOR,KUALA SELANGOR,1.60,0.80,9.80
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,TATAU,2.00,0.60,9.90
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,PAKAN,1.00,1.00,10.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,MARUDI,1.00,1.00,10.00
2017,BUAH-BUAHAN,TEMBIKAI,JOHOR,MUAR,6.80,0.80,13.50
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BINTULU,3.30,0.90,14.30
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,PUSA,3.00,1.00,14.60
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,KANOWIT,1.00,1.00,15.00
2017,BUAH-BUAHAN,TEMBIKAI,PERAK,KUALA KANGSAR,0.64,0.64,15.95
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,KUNAK,8.00,8.00,16.80
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,RANAU,2.50,2.50,19.50
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BETONG,1.50,1.50,22.50
2017,BUAH-BUAHAN,TEMBIKAI,KEDAH,LANGKAWI,1.66,1.35,24.81
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,SOOK,4.00,4.00,25.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,LAWAS,3.40,2.40,28.60
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SIBURAN,2.00,2.00,30.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,MATU,15.80,11.30,32.50
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,LUNDU,346.40,2.00,36.00
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,KOTA MARUDU,8.80,8.80,36.40
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,DARO,10.40,4.70,45.50
2017,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,HULU TERENGGANU,4.00,2.60,47.51
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,MIRI,21.50,9.00,54.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,DALAT,5.00,3.60,55.30
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,SANDAKAN,5.00,5.00,60.00
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,KUDAT,8.00,6.60,61.50
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,LAHAD DATU,9.00,9.00,62.90
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BUKIT MABONG,8.90,5.90,70.80
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SONG,5.00,5.00,75.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,MUKAH,17.20,6.10,80.50
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,BELAGA,7.00,7.00,84.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,KAPIT,9.00,7.30,87.60
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,LUBOK ANTU,6.50,6.50,97.50
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,TUARAN,5.60,5.60,106.20
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,KOTA BELUD,13.00,13.00,138.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SERIAN,9.50,8.30,143.40
2017,BUAH-BUAHAN,TEMBIKAI,KEDAH,SIK,5.80,5.80,145.00
2017,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,KUALA TERENGGANU,6.60,6.60,158.35
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SUBIS,22.70,10.70,162.60
2017,BUAH-BUAHAN,TEMBIKAI,MELAKA,JASIN,18.90,9.20,176.48
2017,BUAH-BUAHAN,TEMBIKAI,PERAK,HILIR PERAK,50.00,50.00,200.00
2017,BUAH-BUAHAN,TEMBIKAI,NEGERI SEMBILAN,JELEBU,10.00,10.00,216.43
2017,BUAH-BUAHAN,TEMBIKAI,KEDAH,KUALA MUDA,20.00,20.00,220.00
2017,BUAH-BUAHAN,TEMBIKAI,TERENGGANU,DUNGUN,13.20,12.00,226.58
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SAMARAHAN,15.50,15.50,232.50
2017,BUAH-BUAHAN,TEMBIKAI,PAHANG,BENTONG,15.40,15.40,271.90
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SRI AMAN,34.40,21.90,301.90
2017,BUAH-BUAHAN,TEMBIKAI,NEGERI SEMBILAN,REMBAU,15.00,15.00,302.30
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,BEAUFORT,16.00,16.00,308.30
2017,BUAH-BUAHAN,TEMBIKAI,KELANTAN,KUALA KRAI,23.90,18.40,313.18
2017,BUAH-BUAHAN,TEMBIKAI,NEGERI SEMBILAN,KUALA PILAH,20.00,20.00,360.00
2017,BUAH-BUAHAN,TEMBIKAI,SABAH,SIPITANG,17.80,17.80,368.90
2017,BUAH-BUAHAN,TEMBIKAI,KELANTAN,TANAH MERAH,30.30,30.30,605.33
2017,BUAH-BUAHAN,TEMBIKAI,PAHANG,KUANTAN,57.80,52.30,605.91
2017,BUAH-BUAHAN,TEMBIKAI,KEDAH,BALING,51.70,51.70,648.84
2017,BUAH-BUAHAN,TEMBIKAI,MELAKA,MELAKA TENGAH,46.60,43.50,656.72
2017,BUAH-BUAHAN,TEMBIKAI,KELANTAN,KOTA BHARU,45.30,45.30,702.30
2017,BUAH-BUAHAN,TEMBIKAI,KELANTAN,TUMPAT,41.32,40.11,790.30
2017,BUAH-BUAHAN,TEMBIKAI,PERAK,PERAK TENGAH,40.00,40.00,800.00
2017,BUAH-BUAHAN,TEMBIKAI,SARAWAK,SARIKEI,48.00,45.00,804.00
2017,BUAH-BUAHAN,TEMBIKAI,KELANTAN,PASIR MAS,67.00,64.73,816.08
2017,BUAH-BUAHAN,TEMBIKAI,PERAK,KINTA,80.00,80.00,900.00
